rank,feature,importance
1,MonthlyIncome,0.0777077374865198
2,Age,0.069369008351052
3,DailyRate,0.0574844669087124
4,TotalWorkingYears,0.0567642835148365
5,YearsAtCompany,0.0485748416514163
6,MonthlyRate,0.0476621100006879
7,DistanceFromHome,0.0469552679682329
8,HourlyRate,0.045124904733641
9,OverTime,0.0447294505425711
10,NumCompaniesWorked,0.0406004246863959
11,YearsWithCurrManager,0.0400662763443747
12,PercentSalaryHike,0.0352546925995804
13,StockOptionLevel,0.0346447944122115
14,JobRole,0.0334781792133546
15,YearsInCurrentRole,0.0317721078778568
16,EnvironmentSatisfaction,0.0297246302300388
17,JobSatisfaction,0.0266646883214563
18,YearsSinceLastPromotion,0.024155559528816
19,JobLevel,0.0234356679595853
20,TrainingTimesLastYear,0.0224026139564395
21,RelationshipSatisfaction,0.0218579328175857
22,WorkLifeBalance,0.0215312475455974
23,MaritalStatus,0.0210642605796816
24,JobInvolvement,0.0206146421218073
25,Education,0.0206052893218301
26,EducationField,0.0182739400386345
27,BusinessTravel,0.0142282879193369
28,Department,0.0121364505733587
29,Gender,0.0091734037157326
30,PerformanceRating,0.0039428390786539
